UserId,Department/Region,Initiative/output's name??,Related CPO or GLO under P&B 2024-2025,Web link??,Short description?,Flagship or periodic (Y/N)?,"Type of publication (Options: Evaluation, or Guidance/tools, or Technical Report, or Working paper, or Data/Database) ",New or Produced regularly,Funding source (Options: regular budget or extrabudgetary),Focus (Options: Youth only or Youth is one of the target groups),year
USR-202506-0038,Region: Latin America and the Caribbean,Active Labour Market Programs Improve Employment and Earnings of Young People,Output 3.5,https://www.ilo.org/publications/active-labour-market-programs-improve-employment-and-earnings-young-people,"A systematic review by the World Bank and the International Labour Organization (ILO) combines results from evaluations of 220 youth-focused active labour market programs (ALMPs) conducted around the world since 1990. The evidence shows that investments in labour market programs for young people pay off: ALMPs significantly improve their employment and earnings prospects, particularly in Low- and Middle-income countries. Youth at greatest risk of labour market exclusion often benefit the most. To guide future program design, the report identifies features of ALMPs that are associated with positive impacts on youth. ",No,Technical Report,New,extrabudgetary,Youth only,2025
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,,,2025
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,,,2025
USR-202506-0038,Region: Latin America and the Caribbean,"ILO Global Estimates
on International Migrant Workers
International migrants in the labour force
Fourth edition",GLO464,https://www.ilo.org/sites/default/files/2024-12/MIGRANT%20%E2%80%93%20ILO%20Global%20Estimates%20on%20International%20Migrant%20Workers_WEB_0.pdf,"This fourth edition of the ILO Global Estimates on International Migrant Workers: International Migrants in the Labour Force presents the most recent estimates on the stock of international migrants in the labour force, employed international migrants and unemployed international migrants, for the reference year 2022. The estimates are disaggregated by sex, country income group and region. The periodic publication of this report offers valuable insights into trends in international labour migration, recognizes the contribution of migrant workers to destination labour markets and highlights the critical importance of data-driven policymaking at national, regional and global levels.",Yes,Data/Database,Produced regularly,Regular Budget,Youth are one of the target groups,2025
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,,,2025
USR-202506-0038,Region: Latin America and the Caribbean,ILO Child Labour Framework for Action,,https://www.ilo.org/publications/framework-action-child-labour-2023-2025,"Includes strategy to strengthen skills and lifelong learning programmes to provide accessible, relevant and targeted
skilling and upskilling, and career development services, to parents and working-age youth to
enhance their employability and income-generation potential.",No,Guidance/Tools,New,Regular Budget,Youth are one of the target groups,2025
USR-202506-0038,Region: Latin America and the Caribbean,ACCEL Africa II,CIV901,,Rapid-assessment of youth employment opportunities in Moronou and Nawa Regions (with a focus on youth 15-17 years old),No,Working paper,New,extrabudgetary,Youth only,2025
USR-202506-0039,International Labour Standards,,,,,,,,,,2025
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2025
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2025
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2025
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2025
USR-202506-0041,Conditions of Work and Equality,,,,,,,,,,2025
USR-202506-0041,Conditions of Work and Equality,,,,,,,,,,2025
USR-202506-0042,Governance and Tripartism,,,,,,,,,,2025
USR-202506-0042,Governance and Tripartism,Guide on Core Skills for the Green Transition - Student Book,CHN 252,,"The Guide,developed under 'Quality Apprenticeship and Lifelong Learning in China Project Phase 2', is a pioneering tool to introduce TVET students fundamental transferable skills for the green transition, including green literacy, green thinking and green production and services.",No,Guidance/Tools,New,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0042,Governance and Tripartism,"Situation Analysis of
 Youth Development in China",CHN 251,,"The research report is co-led by UNFPA, UNICEF and ILO as a guiding document for UN China Youth Theme Group",No,Technical Report,New,extrabudgetary,Youth only,2025
USR-202506-0042,Governance and Tripartism,,,,,,,,,,2025
USR-202506-0042,Governance and Tripartism,Outcome A,,https://rplumber.ilo.org/data/indicator/?id=EMP_5EMP_SEX_STE_NB_A&timefrom=2019&timeto=2023&type=label&format=.csv,Dissemination of Statistics aligned with ICSE-18,No,Data/Database,Produced regularly,Regular Budget,Youth are one of the target groups,2025
USR-202506-0042,Governance and Tripartism,"Trends in child labour in Myanmar 2021-24. A study of Mon, Kayin, Kayah and Shan States",MMR101,https://www.ilo.org/publications/trends-child-labour-myanmar-2021-24-study-mon-kayin-kayah-and-shan-states,"This study assesses child labour in Myanmar's Mon, Kayin, Kayah (Karenni), and Shan States, highlighting key trends, causes, and developments. Based on early 2024 interviews and focus groups, it examines economic, cultural, and systemic drivers, supported by case studies. The findings inform key stakeholders on viable strategies for sustainable child labour reduction.",No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0043,Region: Latin America and the Caribbean,"The Assessment of value chains in pilot areas of the Myanmar Programme on the Elimination of Child Labour (My-PEC) in the Ayeyarwady Region, Yangon Region and Mon State",MMR101,https://www.ilo.org/publications/assessment-value-chains-pilot-areas-myanmar-programme-elimination-child,"This study explores ways to create sustainable economic opportunities by identifying value chains that can help people earn a stable income. It looks at market trends, job opportunities, and the challenges people face in finding employment. Based on these findings, the study provides useful recommendations on how to improve livelihoods and develop vocational training programs. The goal is to help individuals and businesses grow, ensuring long-term economic success and better job opportunities for communities.",No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0043,Region: Latin America and the Caribbean,,,,,,,,,,2025
USR-202506-0043,Region: Latin America and the Caribbean,,,,,,,,,,2025
USR-202506-0037,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2025
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2025
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2025
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2025
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2025
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2025
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2025
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2025
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2025
USR-202506-0037,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2025
USR-202506-0037,"Employment Policy, Job Creation and Livelihoods",Youth Guarantee,SBU104; MKD130; ALB132; MNE129; SRB130; BiH128,,for beneficiary economies,,Guidance/Tools,,extrabudgetary,Youth only,2025
USR-202506-0038,Region: Latin America and the Caribbean,Youth Guarantee,SBU104; MKD130; ALB132; MNE129; SRB130; BiH129,,for beneficiary economies,,Technical Report,,extrabudgetary,Youth only,2025
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,,,2025
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,,,2025
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,,,2025
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,,,2025
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,,,2025
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,,,2025
USR-202506-0039,International Labour Standards,,,,,,,,,,2025
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",World Employment and Social Outlook: Trends 2024,GLO382,https://www.ilo.org/publications/flagship-reports/world-employment-and-social-outlook-trends-2024,"Annual reporting on labour market trends, including youth",Yes,Technical Report,Produced regularly,Regular Budget,Youth are one of the target groups,2025
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2025
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2025
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2025
USR-202506-0041,Conditions of Work and Equality,,,,,,,,,,2025
USR-202506-0041,Conditions of Work and Equality,,,,,,,,,,2025
USR-202506-0042,Governance and Tripartism,,,,,,,,,,2025
USR-202506-0042,Governance and Tripartism,,,,,,,,,,2025
USR-202506-0042,Governance and Tripartism,,,,,,,,,,2025
USR-202506-0042,Governance and Tripartism,,,,,,,,,,2025
USR-202506-0042,Governance and Tripartism,,,,,,,,,,2025
USR-202506-0042,Governance and Tripartism,,,,,,,,,,2025
USR-202506-0043,Region: Latin America and the Caribbean,SDG 8.b.1 indicator reporting,GLO435,https://unstats.un.org/sdgs/metadata/?Text=&Goal=8&Target=8.b,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy",Yes,Data/Database,Produced regularly,extrabudgetary,Youth only,2025
USR-202506-0043,Region: Latin America and the Caribbean,Employment Policy Gateway / Youth Employment Strategies Module,GLO435,https://webapps.ilo.org/empolgateway/#youth-employment:1,Provides information on national youth employment strategies globally.,Yes,Data/Database,Produced regularly,extrabudgetary,Youth only,2025
USR-202506-0043,Region: Latin America and the Caribbean,Youth at Work Report,GLO435,https://www.ilo.org/publications/youth-work-g20-countries-progress-and-policy-action-2023,"Report prepared jointly by the ILO and the OECD and presented at the G20 Labour and Employment Ministerial Meeting under Brazil's presidency gives an overview of progress made by G20 countries towards achieving the Antalya target, and policy action taken by governments to reduce the share of at-risk youth.

Facebook
X
Linkedin",Yes,Technical Report,Produced regularly,extrabudgetary,Youth only,2025
USR-202506-0037,"Employment Policy, Job Creation and Livelihoods",Launch of Global Employment Trends for Youth,Enabling Outcome A,https://www.ilo.org/resource/news/number-youth-not-employment-education-or-training-neet-cause-concern,Press release (and media briefing) + web pages,Yes,Technical Report,Produced regularly,Regular Budget,Youth are one of the target groups,2025
USR-202506-0022,Region: Arab States,Launch of Global Employment Trends for Youth,Enabling Outcome A,https://www.ilo.org/resource/article/global-employment-trends-youth-2024-figures,Data visualizations,Yes,Technical Report,Produced regularly,Regular Budget,Youth are one of the target groups,2025
USR-202506-0022,Region: Arab States,Launch of Global Employment Trends for Youth,Enabling Outcome A,https://www.youtube.com/watch?v=rUwKaFzenjQ,Explainer video,Yes,Technical Report,Produced regularly,Regular Budget,Youth are one of the target groups,2025
USR-202506-0022,Region: Arab States,Launch of Global Employment Trends for Youth,Enabling Outcome A,https://trello.com/c/VQneFofw/1220-12-august-global-employment-trends-for-youth-report-international-youth-day ,Social media materials,Yes,Technical Report,Produced regularly,Regular Budget,Youth are one of the target groups,2025
USR-202506-0022,Region: Arab States,Launch of Global Employment Trends for Youth,Enabling Outcome A,https://www.linkedin.com/posts/international-labour-organization-ilo_the-global-employment-trends-for-youth-2024-activity-7229094858202730497-TvY1?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAC1eKwBK-cBM0CRws6QHU5ofw8GbP1MR-s ,Social media posts (as an example),Yes,Technical Report,Produced regularly,Regular Budget,Youth are one of the target groups,2025
USR-202506-0022,Region: Arab States,Launch of Global Employment Trends for Youth,Enabling Outcome A,https://voices.ilo.org/podcast/youth-employment-why-are-anxieties-among-young-people-growing-even-as-youth-unemployment-rates-fall#headline,Podcast - Youth employment: Why are anxieties among young people growing even as youth unemployment rates fall?,Yes,Technical Report,Produced regularly,Regular Budget,Youth are one of the target groups,2025
USR-202506-0022,Region: Arab States,Youth employment topic portal on new website,Enabling Outcome A,https://www.ilo.org/topics-and-sectors/youth-employment,Support with migration of youth employment content to new topic portal on ilo.org ,Yes,best practices/lessons learned,New,Regular Budget,Youth are one of the target groups,2025
USR-202506-0022,Region: Arab States,Podcast - How young refugees are using skills and entrepreneurship to find independence,Enabling Outcome A,https://voices.ilo.org/podcast/how-young-refugees-are-using-skills-and-entrepreneurship-to-find-independence#headline,Podcast - How young refugees are using skills and entrepreneurship to find independence,No,best practices/lessons learned,New,Regular Budget,Youth are one of the target groups,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Podcast - The social justice challenge for African youth,Enabling Outcome A,https://voices.ilo.org/podcast/social-justice-challenge-for-african-youth#headline ,Podcast - The social justice challenge for African youth,No,best practices/lessons learned,New,Regular Budget,Youth are one of the target groups,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Podcast - The social justice challenge for youth in Colombia,Enabling Outcome A,https://voices.ilo.org/es-es/podcast/en-colombia-crear-empleo-decente-anima-a-los-jovenes-a-quedarse-en-el-campo#headline ,Podcast - The social justice challenge for youth in Colombia,No,best practices/lessons learned,New,Regular Budget,Youth are one of the target groups,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",ILO in Action video - Cote d'Ivoire,Enabling Outcome A,https://www.ilo.org/resource/article/ilo-action-c%C3%B4te-divoire ,ILO in Action video - Cote d'Ivoire,No,best practices/lessons learned,New,Regular Budget,Youth are one of the target groups,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",ILO in Action video - Colombia,Enabling Outcome A,https://www.ilo.org/resource/news/empowering-colombian-students-senatec-project ,ILO in Action video - Colombia,No,best practices/lessons learned,New,Regular Budget,Youth are one of the target groups,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",ILO social media content,Enabling Outcome A,https://live.ilo.org/event/world-youth-skills-day-2024-2024-07-15 ,ILO Live broadcast,No,best practices/lessons learned,New,Regular Budget,Youth are one of the target groups,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Interactive dialogue and launch of "Work Wise Youth: A guide to youth rights at work",Enabling Outcome A,https://live.ilo.org/event/interactive-dialogue-and-launch-work-wise-youth-guide-youth-rights-work-2024-02-14 ,ILO Live broadcast,No,best practices/lessons learned,New,Regular Budget,Youth are one of the target groups,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Event on youth challenge in Africa,Enabling Outcome A,https://live.ilo.org/event/social-justice-african-youth-challenge-2024-02-23 ,ILO Live broadcast,No,best practices/lessons learned,New,Regular Budget,Youth are one of the target groups,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",ILO social media content,Enabling Outcome A,https://trello.com/b/5BXjkre2/ilo-social-media,ILO social media content,No,best practices/lessons learned,New,Regular Budget,Youth are one of the target groups,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",ILO-IFAD brief,GLO433 and GLO435," https://www.ilo.org/publications/elevating-potential-rural-youth-paths-decent-jobs-and-sustainable-futures-1#:~:text=ILO%20brief-,Elevating%20the%20potential%20of%20rural%20youth%3A%20Paths,Decent%20Jobs%20and%20Sustainable%20Futures&text=The%20ILO%20policy%20brief%20addresses,of%20the%20rural%20labour%20market.","The ILO policy brief addresses the urgent need to create decent jobs for rural youth by examining both the demand and supply sides of the rural labour market.?Capitalizing on the lessons learned from the IFAD-sponsored ProAgro YOUTH and JOY projects, the brief outlines various policy actions and recommendations to foster a policy? environment conducive to rural youth employment.Importantly, it also stresses the importance of social dialogue and rights at work. The brief underlines as well how effective partnerships to advance coordinated efforts among stakeholders, including government bodies, employers and workers organizations and youth organizations, are key to create sustainable job opportunities and address the unique challenges faced by rural youth.",No,Technical Report,New,extrabudgetary,Youth only,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Work Wise Youth: A Guide to Youth Rights at Work (session 5),Outcome 7- GLO371,https://www.ilo.org/WorkWiseYouth,,No,Guidance/Tools,New,Regular Budget,Youth only,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods","The promise of universal child benefits: 
The foundational policy for economic and social development",Outcome 7- GLO371,https://www.social-protection.org/gimi/Media.action?id=19447,,No,Technical Report,New,Regular Budget,Youth are one of the target groups,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods","World Social Protection Report 2024-26: USP for climate action and a just transition (Chap.2.2.2, 4.2.6)",Outcome 7- GLO373,https://www.ilo.org/publications/flagship-reports/world-social-protection-report-2024-26-universal-social-protection-climate,,Yes,Technical Report,Produced regularly,Regular Budget,Youth are one of the target groups,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Arab States Employment and Social Outlook - Trends 2024: Promoting social justice through a just transition,A.2,https://www.ilo.org/publications/major-publications/arab-states-employment-and-social-outlook-trends-2024-promoting-social,"The report offers an in-depth analysis of the economic and employment landscape in the Arab States, with a focus on disadvantaged groups including the youth and the challenges they face. Emphasizing social justice, the report highlights opportunities for more inclusive and equitable labour markets, examining regional trends while drawing on national examples where relevant.",Yes,Technical Report,New,Regular Budget,Youth are one of the target groups,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods","Promoting youth employment in Songkhla and Yala, Thailand",,https://www.ilo.org/publications/promoting-youth-employment-songkhla-and-yala-thailand,"It provides description of the socioeconomic context of Songkhla and Yala, and the labour market situation (up to 2022).",No,Technical Report,New,Regular Budget,Youth only,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Work wise youth: A guide to youth rights at work,MNG155,https://www.ilo.org/WorkWiseYouth?lang=mn,Translation and local adaption,No,Guidance/Tools,New,extrabudgetary,Youth only,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Cooperative Sector Strategy (2024?C2029,DWCP Palestine / GLO/COOP,,"Strategic framework outlining vision, goals, and priorities for cooperative development in Palestine",Yes,Technical Report,New,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Cooperative Audit Manua,DWCP Palestine / GLO/COOP,,"Manual to standardize cooperative auditing practices, developed with Jordan Cooperative Corporation.",No,Guidance/Tools,New,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Staff Capacity Building (CWA),DWCP Palestine / GLO/COOP,,"Training conducted for CWA staff on cooperative management, auditing, and strategic planning.",No,best practices/lessons learned,Produced regularly,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Cooperative Business Plan Competition,DWCP Palestine / GLO/COOP,,University-based competition to promote youth-led cooperative business models.,Yes,best practices/lessons learned,New,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Integration of ILO's Think.COOP and Start.COOP into University Incubators,DWCP Palestine / GLO/COOP,,Incorporation of ILO tools into youth incubation programs at Al-Quds University.,No,Guidance/Tools,New,extrabudgetary,Youth only,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Feasibility Study and Legal Mapping for Childcare Cooperative,DWCP Palestine / GLO/COOP,,"Study to support the establishment of a childcare cooperative with PGFTU, including legal and institutional analysis",No,Technical Report,,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Marketing and Packaging Support Toolkit,DWCP Palestine / GLO/COOP,,"Toolkit for women-led cooperatives on packaging, branding, and market access, developed with WFP.",No,Guidance/Tools,New,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Knowledge Exchange with Italian Institutions,DWCP Palestine / GLO/COOP,,Documentation of engagement with Legacoop and academic institutions to share cooperative knowledge.,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0024,"Employment Policy, Job Creation and Livelihoods",Outreach and Communication,DWCP Palestine / GLO/COOP,,"Facilitated MoUs with Roma Tre, Bologna, and others for academic and technical cooperation.",No,best practices/lessons learned,New,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0024,"Employment Policy, Job Creation and Livelihoods",Employment and Trade Impacts of the Wadi Al Arab Water System II Project in Jordan, JOR101,https://www.ilo.org/publications/employment-and-trade-impacts-wadi-al-arab-water-system-ii-project-jordan,,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0025,Region: Asia and the Pacific,'valuation de l'impact sur l'emploi et le commerce au Maroc,MAR102,https://www.ilo.org/fr/publications/evaluation-de-limpact-sur-lemploi-et-le-commerce-au-maroc,,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0025,Region: Asia and the Pacific,Employment and Trade Impact Assessment of the 'Kafr El Sheikh Wastewater Expansion Program' in Egypt (unpublished),EGY106,,,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0025,Region: Asia and the Pacific,'valuation de l'impact sur l'emploi et le commerce en Tunisie,TUN103,https://www.ilo.org/fr/publications/evaluation-de-limpact-sur-lemploi-et-le-commerce-en-tunisie,,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0025,Region: Asia and the Pacific,"Skills for Trade and Economic
Diversification (STED) Analysis of the
Engineering Products and Services
Sectors in Jordan",JOR101,https://www.ilo.org/publications/exploring-employment-opportunities-jordan%E2%80%99s-engineering-sector,,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0025,Region: Asia and the Pacific,"Comp'tences pour le Commerce et
la Diversification 'conomique (STED)
de la cha?ne de valeur de la branche
de la bonneterie au Maroc (unpublished)",MOR103,,,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0025,Region: Asia and the Pacific,"Skills for Trade and Economic
Diversification (STED) and Trade
and Value Chains in Employment-
Rich Activities (TRAVERA) within
the value chain of aromatic and
medicinal plants in Tunisia (unpublished)",TUN101+102,,,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0025,Region: Asia and the Pacific,"TRAVERA-STED analysis of the Sugar, Sugar Confectionary and Chocolate in Egypt (unpublished)",EGY101,,,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0026,Region: Asia and the Pacific,Nacala road corridor (NTL study)(July 2024),GLO431,https://www.ilo.org/publications/employment-impact-assessment-luangwa-mwami-road-part-interregional-nacala,,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0026,Region: Asia and the Pacific,PNDP (September 2024),GLO432,https://www.ilo.org/publications/employment-impact-assessment-11th-european-development-fund-national,,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0026,Region: Asia and the Pacific,Malawi-Mozambique Interconnector (November 2024),GLO433,https://www.ilo.org/publications/mozambique-malawi-interconnector-project-malawi,,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0027,Region: Asia and the Pacific,"Credit Guarantee Schemes, MSME access to finance and Productivity in Rwanda (July 2024)",GLO434,https://www.ilo.org/publications/credit-guarantee-schemes-msme-access-finance-and-labour-productivity-africa,,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2025
USR-202506-0001,Region: Asia and the Pacific,GMG long-term impacts (August 2024),GLO435,https://www.ilo.org/publications/employment-impact-assessment-productive-use-energy-pue-green-mini-grid-gmg,,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2026
USR-202506-0001,Region: Asia and the Pacific,GMG additional sites (December 2024),GLO436,https://www.ilo.org/publications/employment-impact-assessment-gmg-additional-20,,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2026
USR-202506-0001,Region: Asia and the Pacific,,,,,,,,,,2026
USR-202506-0002,Statistics,,,,,,,,,,2026
USR-202506-0003,Region: Asia and the Pacific,,,,,,,,,,2026
USR-202506-0003,Region: Asia and the Pacific,,,,,,,,,,2026
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,,,2026
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,,,2026
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,,,2026
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,,,2026
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,,,2026
USR-202506-0005,Region: Arab States,,,,,,,,,,2026
USR-202506-0006,Region: Arab States,,,,,,,,,,2026
USR-202506-0006,Region: Arab States,,,,,,,,,,2026
USR-202506-0006,Region: Arab States,,,,,,,,,,2026
USR-202506-0006,Region: Arab States,,,,,,,,,,2026
USR-202506-0006,Region: Arab States,,,,,,,,,,2026
USR-202506-0006,Region: Arab States,,,,,,,,,,2026
USR-202506-0007,Region: Arab States,,,,,,,,,,2026
USR-202506-0007,Region: Arab States,,,,,,,,,,2026
USR-202506-0007,Region: Arab States,,,,,,,,,,2026
USR-202506-0007,Region: Arab States,,,,,,,,,,2026
USR-202506-0007,Region: Arab States,,,,,,,,,,2026
USR-202506-0007,Region: Arab States,,,,,,,,,,2026
USR-202506-0007,Region: Arab States,"Global Employment Trends for Youth 2024: Decent work, brighter futures",GLO435,https://www.ilo.org/publications/major-publications/global-employment-trends-youth-2024,"This report represents the 20th anniversary publication of the ILO's Global Employment Trends for Youth (hereafter 'GET for Youth'). As an anniversary edition, this GET for Youth looks back on what has been achieved since the dawn of the twenty-first century while also looking ahead to what may lay in store for youth employment in an era characterized by crises and uncertainties.",Yes,Technical Report,Produced regularly,Regular Budget,Youth only,2026
USR-202506-0007,Region: Arab States,Regional briefs associated to the GET Youth 2024,GLO435,https://www.ilo.org/publications/major-publications/global-employment-trends-youth-2024,"Five regional briefs highlighted latest trends per region: Asia and the Pacific, Americas, Europe and Central Asia, Middle East and North Africa, Sub-Saharan Africa",Yes,Technical Report,Produced regularly,Regular Budget,Youth only,2026
USR-202506-0007,Region: Arab States,Youth Entrepreneurship Promotion,,https://www.ilo.org/projects-and-partnerships/projects/south-asia-leadership-entrepreneurship-sale-%E2%80%93-sri-lanka ,Promoted youth entrepreneurship through training and mentoring in Sri Lanka,Yes,best practices/lessons learned,New,extrabudgetary,Youth only,2026
USR-202506-0008,Region: Europe and Central Asia,Labour migration research,,https://www.ilo.org/sites/default/files/2024-06/Report-Labour%20Market-Migrant%20Workers-SriLanka-2023.pdf,Conducted research on international migration opportunities for youth and skills mapping,No,Working paper,Produced regularly,extrabudgetary,Youth are one of the target groups,2026
USR-202506-0008,Region: Europe and Central Asia,Impact of MSMEs,,https://www.ilo.org/publications/impact-multiple-crises-sri-lankas-micro-small-and-medium-sized-enterprises ,Research on the role of MSMEs in providing (youth) employment amidst economic challenges,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2026
USR-202506-0008,Region: Europe and Central Asia,Statistical brief: Sri Lanka's labour market during the economic crisis of 2022-2023,,https://researchrepository.ilo.org/esploro/outputs/encyclopediaEntry/Sri-Lankas-labour-market-during-the/995350718702676/filesAndLinks?index=0,Policy insights and analysis on (youth) migration trends and opportunities,No,Guidance/Tools,Produced regularly,extrabudgetary,Youth are one of the target groups,2026
USR-202506-0008,Region: Europe and Central Asia,Northern Province Growth Diagnostic Study,,https://www.ilo.org/projects-and-partnerships/projects/promoting-advancement-vulnerable-persons-and-enterprises-pave-project,"Analysis of key sectors with potential for growth and employment in Sri Lanka's Northern Province. (PAVE, final version not yet published)",No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2026
USR-202506-0008,Region: Europe and Central Asia,A study on comparability of TVET systems and qualification between Philippines and Sri Lanka.,LKA102(Output 3.2) ,ILO Colombo,"The aim was  to Compare qualifications between Sri Lanka and the Philippines. This will foster education and training mobility, mutual recognition of qualifications, educational collaboration, fair employment opportunities, and international recognition of educational institutions. By establishing a system of equivalence, both countries can promote academic and professional exchange, facilitate the movement of skilled workers, and enhance the overall quality of education and training",No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2026
